file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
Project/dynmap/DynmapCore/src/main/java/org/dynmap/debug/Debug.java,org.dynmap.debug.Debug,clearDebuggers/0,FALSE,16,0,2,2,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,0,FALSE
Project/dynmap/DynmapCore/src/main/java/org/dynmap/debug/Debug.java,org.dynmap.debug.Debug,addDebugger/1[org.dynmap.debug.Debugger],FALSE,8,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,0,FALSE
Project/dynmap/DynmapCore/src/main/java/org/dynmap/debug/Debug.java,org.dynmap.debug.Debug,error/1[java.lang.String],FALSE,24,1,1,0,1,2,3,3,0,1,1,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,41,1,FALSE
Project/dynmap/DynmapCore/src/main/java/org/dynmap/debug/Debug.java,org.dynmap.debug.Debug,removeDebugger/1[org.dynmap.debug.Debugger],FALSE,12,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,0,FALSE
Project/dynmap/DynmapCore/src/main/java/org/dynmap/debug/Debug.java,org.dynmap.debug.Debug,debug/1[java.lang.String],FALSE,20,1,5,4,1,2,3,3,0,1,1,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,41,1,FALSE
Project/dynmap/DynmapCore/src/main/java/org/dynmap/debug/Debug.java,org.dynmap.debug.Debug,"error/2[java.lang.String,java.lang.Throwable]",FALSE,28,1,1,0,1,2,3,3,0,1,2,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,41,1,FALSE
Project/dynmap/DynmapCore/src/main/java/org/dynmap/hdmap/HDMap.java,org.dynmap.hdmap.HDMap$Anonymous1,"tileFound/2[org.dynmap.storage.MapStorageTile,org.dynmap.MapType.ImageEncoding]",FALSE,331,6,7,0,7,9,7,19,2,0,2,7,0,0,0,3,0,0,0,6,0,4,2,0,0,0,9,1,0,FALSE
Project/dynmap/fabric-1.19/src/main/java/org/dynmap/fabric_1_19/FabricLogger.java,org.dynmap.fabric_1_19.FabricLogger,info/1[java.lang.String],FALSE,16,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,FALSE
Project/dynmap/fabric-1.19/src/main/java/org/dynmap/fabric_1_19/FabricLogger.java,org.dynmap.fabric_1_19.FabricLogger,"severe/2[java.lang.String,java.lang.Throwable]",FALSE,31,0,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,FALSE
Project/dynmap/fabric-1.19/src/main/java/org/dynmap/fabric_1_19/FabricLogger.java,org.dynmap.fabric_1_19.FabricLogger,severe/1[java.lang.String],FALSE,26,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,FALSE
